method,alarm_id,start,end_exclusive,matched_incident,actual_positive_runs
rolling,0,1,2,,"[[1, 2]]"
rolling,1,161,174,,"[[161, 162], [171, 172], [173, 174]]"
rolling,2,247,248,,"[[247, 248]]"
rolling,3,472,484,,"[[472, 473], [483, 484]]"
rolling,4,891,892,,"[[891, 892]]"
rolling,5,1286,1288,,"[[1286, 1288]]"
rolling,6,1441,1442,,"[[1441, 1442]]"
rolling,7,1621,1622,,"[[1621, 1622]]"
rolling,8,1919,1944,,"[[1919, 1920], [1943, 1944]]"
rolling,9,2710,2712,,"[[2710, 2712]]"
rolling,10,2879,2882,,"[[2879, 2880], [2881, 2882]]"
rolling,11,3071,3072,,"[[3071, 3072]]"
rolling,12,3443,3450,,"[[3443, 3444], [3449, 3450]]"
rolling,13,3488,3489,,"[[3488, 3489]]"
rolling,14,3710,3717,,"[[3710, 3711], [3716, 3717]]"
rolling,15,3789,3791,,"[[3789, 3791]]"
rolling,16,4161,4163,,"[[4161, 4163]]"
rolling,17,4310,4311,,"[[4310, 4311]]"
rolling,18,4500,4501,,"[[4500, 4501]]"
rolling,19,4536,4537,,"[[4536, 4537]]"
rolling,20,4685,4686,,"[[4685, 4686]]"
rolling,21,4778,4793,,"[[4778, 4779], [4792, 4793]]"
rolling,22,4970,4971,,"[[4970, 4971]]"
rolling,23,5470,5471,,"[[5470, 5471]]"
rolling,24,5628,5630,,"[[5628, 5630]]"
rolling,25,5758,5761,0,"[[5758, 5759], [5760, 5761]]"
rolling,26,5883,5884,1,"[[5883, 5884]]"
rolling,27,5928,5943,,"[[5928, 5929], [5940, 5941], [5942, 5943]]"
rolling,28,6203,6204,,"[[6203, 6204]]"
rolling,29,6268,6273,2,"[[6268, 6273]]"
rolling,30,6488,6489,,"[[6488, 6489]]"
rolling,31,7055,7056,,"[[7055, 7056]]"
rolling,32,7200,7201,,"[[7200, 7201]]"
rolling,33,7386,7387,,"[[7386, 7387]]"
rolling,34,7570,7571,,"[[7570, 7571]]"
rolling,35,7703,7723,,"[[7703, 7704], [7722, 7723]]"
rolling,36,8488,8489,,"[[8488, 8489]]"
rolling,37,8640,8641,,"[[8640, 8641]]"
rolling,38,8820,8823,,"[[8820, 8821], [8822, 8823]]"
rolling,39,8943,8944,,"[[8943, 8944]]"
rolling,40,8999,9045,3,"[[8999, 9000], [9016, 9019], [9039, 9040], [9044, 9045]]"
rolling,41,9088,9139,,"[[9088, 9089], [9090, 9091], [9103, 9104], [9123, 9124], [9138, 9139]]"
rolling,42,9448,9449,,"[[9448, 9449]]"
rolling,43,9943,9945,,"[[9943, 9945]]"
rolling,44,10078,10079,,"[[10078, 10079]]"
rolling,45,10217,10218,,"[[10217, 10218]]"
rolling,46,10258,10259,,"[[10258, 10259]]"
rolling,47,10523,10539,,"[[10523, 10524], [10538, 10539]]"
rolling,48,10578,10583,4,"[[10578, 10583]]"
rolling,49,10643,10644,,"[[10643, 10644]]"
rolling,50,11359,11360,,"[[11359, 11360]]"
rolling,51,11657,11658,,"[[11657, 11658]]"
rolling,52,11698,11699,,"[[11698, 11699]]"
rolling,53,11969,11970,,"[[11969, 11970]]"
rolling,54,12020,12021,,"[[12020, 12021]]"
rolling,55,12078,12079,,"[[12078, 12079]]"
rolling,56,12786,12787,,"[[12786, 12787]]"
rolling,57,12958,12959,,"[[12958, 12959]]"
rolling,58,13410,13411,,"[[13410, 13411]]"
rolling,59,13448,13449,6,"[[13448, 13449]]"
rolling,60,13548,13549,,"[[13548, 13549]]"
rolling,61,13650,13651,,"[[13650, 13651]]"
rolling,62,13955,13956,,"[[13955, 13956]]"
iforest,0,1286,1287,,"[[1286, 1287]]"
iforest,1,2710,2711,,"[[2710, 2711]]"
iforest,2,3145,3146,,"[[3145, 3146]]"
iforest,3,3488,3489,,"[[3488, 3489]]"
iforest,4,3716,3718,,"[[3716, 3718]]"
iforest,5,3789,3791,,"[[3789, 3791]]"
iforest,6,4161,4162,,"[[4161, 4162]]"
iforest,7,4536,4537,,"[[4536, 4537]]"
iforest,8,5628,5629,,"[[5628, 5629]]"
iforest,9,6270,6303,2,"[[6270, 6303]]"
iforest,10,7055,7056,,"[[7055, 7056]]"
iforest,11,8488,8489,,"[[8488, 8489]]"
iforest,12,9943,9944,,"[[9943, 9944]]"
iforest,13,10580,10612,4,"[[10580, 10612]]"
iforest,14,10643,10644,,"[[10643, 10644]]"
iforest,15,11359,11360,,"[[11359, 11360]]"
iforest,16,12786,12787,,"[[12786, 12787]]"
autoencoder,0,121,122,,"[[121, 122]]"
autoencoder,1,173,174,,"[[173, 174]]"
autoencoder,2,247,248,,"[[247, 248]]"
autoencoder,3,506,507,,"[[506, 507]]"
autoencoder,4,1099,1100,,"[[1099, 1100]]"
autoencoder,5,1286,1288,,"[[1286, 1288]]"
autoencoder,6,1559,1560,,"[[1559, 1560]]"
autoencoder,7,1623,1624,,"[[1623, 1624]]"
autoencoder,8,1948,1949,,"[[1948, 1949]]"
autoencoder,9,2710,2712,,"[[2710, 2712]]"
autoencoder,10,2879,2880,,"[[2879, 2880]]"
autoencoder,11,2988,2989,,"[[2988, 2989]]"
autoencoder,12,3053,3054,,"[[3053, 3054]]"
autoencoder,13,3205,3206,,"[[3205, 3206]]"
autoencoder,14,3449,3454,,"[[3449, 3451], [3453, 3454]]"
autoencoder,15,3488,3490,,"[[3488, 3490]]"
autoencoder,16,3716,3717,,"[[3716, 3717]]"
autoencoder,17,3760,3791,,"[[3760, 3761], [3789, 3791]]"
autoencoder,18,4161,4163,,"[[4161, 4163]]"
autoencoder,19,4546,4561,,"[[4546, 4547], [4560, 4561]]"
autoencoder,20,4630,4631,,"[[4630, 4631]]"
autoencoder,21,4783,4785,,"[[4783, 4785]]"
autoencoder,22,4968,4969,,"[[4968, 4969]]"
