method,incident_id,start,end_exclusive,matched_alarm,ae_top3_channels_zero_based
rolling,0,5758,5761,25,17;24;4
rolling,1,5883,5948,26,17;13;4
rolling,2,6268,6316,29,29;9;33
rolling,3,8988,9144,40,15;13;10
rolling,4,10578,10614,48,29;9;31
rolling,5,12607,12679,,3;0;11
rolling,6,13436,13458,59,20;27;18
iforest,0,5758,5761,,17;24;4
iforest,1,5883,5948,,17;13;4
iforest,2,6268,6316,9,29;9;33
iforest,3,8988,9144,,15;13;10
iforest,4,10578,10614,13,29;9;31
iforest,5,12607,12679,,3;0;11
iforest,6,13436,13458,,20;27;18
autoencoder,0,5758,5761,25,17;24;4
autoencoder,1,5883,5948,26,17;13;4
autoencoder,2,6268,6316,29,29;9;33
autoencoder,3,8988,9144,41,15;13;10
autoencoder,4,10578,10614,48,29;9;31
autoencoder,5,12607,12679,,3;0;11
autoencoder,6,13436,13458,57,20;27;18
